"rank","year","artist","first_artist","track_billboard","track_spotify","track_number","disc_number","album_name","album_type","artist_id","track_id","album_release_date","album_release_year","duration_ms","danceability","energy","key","key_name","key_mode","mode","mode_name","time_signature","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","lyrics"
"1","2002","kenny chesney","kenny chesney","the good stuff","the good stuff",4,1,"No Shoes, No Shirt, No Problems","album","3grHWM9bx2E9vwJCdlRv9O","1sR3kJi14jA8Gau3a0yXAo","2002-04-02",2002,200440,0.612,0.62,7,"G","G major",1,"major",4,-9.785,0.0645,0.255,0,0.129,0.502,143.78,"well, me and my lady had our first big fight so i drove around till i saw the neon light a corner bar, and it just seemed right so i pulled up not a soul around but the old bar keep down at the end and looking half asleep and he walked up, and said: ""what'll it be?"" i said: ""the good stuff"" he didn't reach around for the whiskey; he didn't pour me a beer his blue eyes kind of went misty he said: ""you can't find that here because it's the first long kiss on a second date momma's all worried when you get home late and dropping the ring in the spaghetti plate because your hands are shaking so much and it's the way that she looks with the rice in her hair eating burnt suppers the whole first year and asking for seconds to keep her from tearing up yeah, man, that's the good stuff"" he grabbed a carton of milk and he poured a glass and i smiled and said: ""i'll have some of that"" we sat there and talked as an hour passed like old friends i saw a black and white picture and it caught my stare it was a pretty girl with bouffant hair he said: ""that's my bonnie taken about a year after we were wed"" he said ""spent five years in the bottle when the cancer took her from me but i've been sober three years now because the one thing stronger than the whiskey was the sight of her holding my baby girl the way she adored that string of pearls i gave her the day that our youngest boy, earl married his high school love and it's a new tee-shirt saying: 'i'm a grandpa' being right there as our time got small and holding her hand, when the good lord called her up yeah, man, that's the good stuff"" he said: ""when you get home, she'll start to cry when she says: 'i'm sorry,' say: 'so am i' and look into those eyes, so deep in love and drink it up because that's the good stuff that's the good stuff"""
"1","2003","lonestar","lonestar","my front porch looking in","my front porch looking in",14,1,"The Greatest Hits","compilation","3qbnxnvUqR14MJ9g8QwZJK","2FOb22ITQlclIU7UEI0v47","1990-01-01",1990,223200,0.276,0.876,5,"F","F major",1,"major",4,-3.507,0.0766,0.0531,0,0.258,0.499,205.576,"ooh, yeah woo, yeah yeah oh yeah the only ground i ever owned was stickin' to my shoes now i look at my front porch at this panoramic view i can sit and watch the fields fill up with rays of golden sun or watch the moon lay on the fences like that's where it was hung my blessings aren't in front of me it's not about the land i'll never beat the view of my front porch looking in there's a carrot top who can barely walk with a sippy cup of milk a little blue eyed blonde with shoes on wrong 'cause she likes to dress herself and the most beautiful girl holding both of them yeah, the view i love the most is my front porch looking in i've traveled here and everywhere following my job i've seen the paintings from the air brushed by the hand of god the mountains and the canyons reach from sea to shining sea but i can't wait to get back home to the one he made for me 'cause anywhere i'll ever go and everywhere i've been nothing takes my breath away like my front porch looking in there's a carrot top who can barely walk with a sippy cup of milk a little blue eyed blonde with shoes on wrong 'cause she likes to dress herself and the most beautiful girl holding both of them yeah, the view i love the most is my front porch looking in i've seen what beautiful is about when i'm looking in not when i'm looking out there's a carrot top who can barely walk with a sippy cup of milk a little blue eyed blonde with shoes on wrong 'cause she likes to dress herself and the most beautiful girl holding both of them yeah, the view i love the most oh, the view i love the most is my front porch looking in, yeah oh, there's a carrot top who can barely walk (from my front porch looking in) a little blue eyed blonde with shoes on wrong, yeah and the most beautiful girl holding both of them, oh, yeah (beautiful girl) (from my front porch looking in)"
"1","2004","tim mcgraw","tim mcgraw","live like you were dying","live like you were dying",5,1,"Live Like You Were Dying","album","6roFdX1y5BYSbp60OTJWMd","7B1QliUMZv7gSTUGAfMRRD","2004-08-17",2004,300333,0.416,0.546,7,"G","G major",1,"major",4,-7.728,0.0297,0.492,0,0.0845,0.418,159.929,"said i was in my early 40's with a lot of life before me when a moment came that stopped me on a dime i spent most of the next days, lookin' at the x-rays talkin' 'bout the options and talkin' 'bout sweet time asked him when it sank in that this might really be the real end how's it hit ya, when you get that kind of news man what ya do and he says i went sky divin' i went rocky mountain climbin' i went 2.7 seconds on a bull named fu manchu and i loved deeper and i spoke sweeter and i gave forgiveness i've been denying and he said someday i hope you get the chance to live like you were dyin' he said i was finally the husband that most the time i wasn't and i became a friend a friend would like to have and all the sudden goin' fishing wasn't such an imposition and i went three times that year i lost my dad well i finally read the good book and i took a good long hard look at what i'd do if i could do it all again and then i went sky divin' i went rocky mountain climbin' i went 2.7 seconds on a bull named fu manchu and i loved deeper and i spoke sweeter and i gave forgiveness i've been denying and he said someday i hope you get the chance to live like you were dyin' like tomorrow was a gift and you've got eternity to think about what you do with it what could you do with it, what can i do with with it, what would i do with it sky divin' i went rocky mountain climbin'i went 2.7 seconds on a bull named fu manchu and i loved deeper and i spoke sweeter and i watched an eagle as it was flying and he said someday i hope you get the chance to live like you were dyin' to live like you were dyin' to live like you were dyin' to live like you were dyin' to live like you were dyin'"
"1","2005","craig morgan","craig morgan","thats what i love about sunday","thats what i love about sunday",1,1,"My Kind Of Livin'","album","6ktyNEnEukKzskQEiXgCFD","1fmi1hOBtH8xfUiWz4LVtE","2005-03-08",2005,201493,0.6,0.56,8,"G#","G# major",1,"major",4,-6.311,0.0325,0.479,0,0.111,0.417,139.469,"raymond's in his sunday best, he's usually up to his chest in oil and grease there's the martin's walking in, with that mean little freckle-faced kid who broke a window last week sweet miss betty likes to sing off-key in the pew behind me that's what i love about sunday sing along as the choir sways every verse of amazing grace and then we shake the preacher's hand go home, into your blue jeans have some chicken and some baked beans pick a backyard football team not do much of anything that's what i love about sunday i stroll to the end of the drive, pick up the sunday times grab a coffee cup it looks like sally and ron, finally tied the knot well, it's about time it's thirty-five cents off of ground round, baby, cut that coupon out that's what i love about sunday cat-napping on the porch swing you curled up next to me the smell of jasmine wakes us up take a walk down a back road tackle box and a cane pole carve our names in that white oak and steal a kiss as the sun fades that's what i love about sunday, oh yeah ooh, new believers getting baptized momma's hands raised up high ain't it a hallelujah good time a smile on everybody's face that's what i love about sunday, oh yeah that's what i love about sunday, oh yeah"
"1","2006","rodney atkins","rodney atkins","if youre going through hell before the devil even knows","if youre going through hell before the devil even knows",10,1,"If You're Going Through Hell","album","2qgvmDsc4jrqbAbjq1HGM2","7vSn3VNbzOtPebdj6ZSebj","2006-07-18",2006,216773,0.566,0.898,9,"A","A major",1,"major",4,-3.659,0.0634,0.0613,0,0.126,0.791,115.954,NA
"1","2007","rodney atkins","rodney atkins","watching you","watching you",3,1,"If You're Going Through Hell","album","2qgvmDsc4jrqbAbjq1HGM2","5OusUgzHz6Ulb3GZT7WUo5","2006-07-18",2006,235426,0.625,0.848,2,"D","D major",1,"major",4,-4.008,0.0314,0.105,0,0.23,0.716,137.993,"driving through town just my boy and me with a happy meal in his booster seat knowing that he couldn't have the toy 'till his nuggets were gone a green traffic light turned straight to red i hit my brakes and mumbled under my breath his fries went a-flying and his orange drink covered his lap well then my four year old said a four letter word that started with ""s"" and i was concerned so i said, ""son now where did you learn to talk like that?"" he said ""i've been watching you dad, ain't that cool? i'm your buckaroo, i wanna be like you and eat all my food and grow as tall as you are we got cowboy boots and camo pants yeah we're just alike, hey ain't we dad? i wanna do everything you do so i've been watching you"" we got back home and i went to the barn i bowed my head and i prayed real hard said, ""lord please help me help my stupid self"" then this side of bedtime later that night turning on my son's scooby doo nightlight he crawled out of bed and he got down on his knees he closed his little eyes, folded his little hands and spoke to god like he was talking to a friend and i said, ""son now where'd you learn to pray like that?"" he said ""i've been watching you dad, ain't that cool? i'm your buckaroo, i wanna be like you and eat all my food and grow as tall as you are we like fixing things and holding mama's hand yeah we're just alike, hey ain't we dad? i wanna do everything you do so i've been watching you"" with tears in my eyes i wrapped him in a hug said, ""my little bear is growing up"" he said, ""but when i'm big i'll still know what to do"" cause i've been watching you dad, ain't that cool? i'm your buckaroo, i wanna be like you and eat all my food and grow as tall as you are by then i'll be as strong as superman we'll be just alike, hey won't we dad? when i can do everything you do cause i've been watching you"
"1","2008","james otto","james otto","just got started lovin you","just got started lovin you",2,1,"Sunset Man (Standard Version)","album","3VStI6m5Ig9FAyUaa0lYAP","4b0XF7CDpJEBAdVHMw7amV","2008-04-07",2008,234640,0.705,0.606,7,"G","G major",1,"major",4,-7.047,0.0243,0.159,0.00149,0.242,0.876,98.001,"you don't have to go now honey call and tell 'em you won't be in today baby there ain't nothin' at the office so important it can't wait i'm thankful for the weekend but two days in heaven just ain't gonna do this is gonna take forever darlin' girl i just got started lovin' you what's the point in fightin' what we're feelin' we both know we'll never win ain't this what we're missin' let's just stop all this resistin' and give in let me wrap my arms around you you know you don't want to leave this room come back and let me hold you darlin' girl i just got started lovin' you what can i say i've never felt this way girl you're like a dream come true after all the love we've made it sure would be a shame if we let this moment end so soon so won't you lay back down beside me girl just like i know you're wantin' to trust me when i tell you darlin' girl i just got started lovin' you i'm thankful for the weekend but two days in heaven just ain't gonna do this is gonna take forever darlin' girl i just got started lovin' you come back and let me hold you darlin' girl i just got started lovin' you what can i say i've never felt this way girl you're like a dream come true after all the love we've made it sure would be a shame if we let this moment end so soon i'm thankful for the weekend but two days in heaven just ain't gonna do this is gonna take forever darlin' girl i just got started lovin' you come back and let me hold you darlin' girl i just got started lovin' you"
"1","2009","lady a","lady a","i run to you","i run to you",5,1,"Lady Antebellum","album","32WkQRZEVKSzVAAYqukAEA","2YVCkTYJpv5jelYrHYoEG8","2008-01-01",2008,256013,0.655,0.786,3,"D#","D# major",1,"major",4,-4.451,0.034,0.163,5.99e-05,0.124,0.378,113.964,"i run from hate i run from prejudice i run from pessimists but i run too late i run my life or is it running me? run from my past i run too fast or too slow it seems when lies become the truth that's when i run to you this world keeps spinning faster into a new disaster, so i run to you i run to you, baby and when it all starts comin' undone baby, you're the only one i run to i run to you we run on fumes your life and mine like the sands of time slipping right on through and our love's the only truth that's why i run to you this world keeps spinning faster into a new disaster, so i run to you i run to you, baby and when it all starts comin' undone baby, you're the only one i run to i run to you whoa, whoa oh, i run to you this world keeps spinning faster into a new disaster, so i run to you i run to you, baby and when it all starts comin' undone baby, you're the only one i run to i run to you, i run to you, yeah whoa, whoa oh, i run to you i run to you, girl whoa, whoa, mmm i always run to you run to you run to you"
"1","2010","lee brice","lee brice","love like crazy","love like crazy",2,1,"Love Like Crazy","album","5Zq7R5qmi58ByYyBQTlNuk","6Ozp6ac86CSHMik8lbvJuM","2010-06-08",2010,217386,0.535,0.725,10,"A#","A# major",1,"major",4,-5.108,0.0275,0.0203,1.45e-05,0.176,0.292,78.489,"they called him crazy when they started out said seventeen's too young to know what love's about they've been together fifty-eight years now that's crazy he brought home sixty-seven bucks a week he bought a little 2 bedroom house on maple street where she blessed him with six more mouths to feed yeah that's crazy just ask him how he did it; he'll say pull up a seat it'll only take a minute, to tell you everything be a best friend, tell the truth, and overuse i love you go to work, do your best, don't outsmart your common sense never let your prayin' knees get lazy and love like crazy they called him crazy when he quit his job said them home computers, boy they'll never take off he sold his one man shop to microsoft they paid like crazy just ask him how he made it, he'll tell you faith and sweat and the heart of a faithful woman, who never let him forget be a best friend, tell the truth, and overuse i love you go to work, do your best, don't outsmart your common sense never let your prayin' knees get lazy and love like crazy always treat your woman like a lady never get to old to call her baby never let your prayin' knees get lazy and love like crazy they called him crazy when they started out they've been together fifty-eight years now ain't that crazy?"
"1","2011","eli young band","eli young band","crazy girl","crazy girl",2,1,"Life At Best","album","6eKWqnckwdIlSnjaYgIyxv","1nVLAEzhBXMJLR5zAl90Nl","2011-01-01",2011,200706,0.366,0.651,4,"E","E major",1,"major",3,-3.842,0.031,0.000415,0.00526,0.271,0.257,151.343,"baby why you wanna cry? you really oughta know that i just have to walk away sometimes we're gonna do what lovers do we're gonna have a fight or two but i ain't ever changin' my mind crazy girl, don't you know that i love you? and i wouldn't dream of goin' nowhere silly woman, come here, let me hold you have i told you lately? i love you like crazy, girl wouldn't last a single day i'd probably just fade away without you, i'd lose my mind before you ever came along i was livin' life all wrong smartest thing i ever did was make you all mine crazy girl, don't you know that i love you? and i wouldn't dream of goin' nowhere silly woman, come here, let me hold you have i told you lately? i love you like crazy, girl like crazy, girl crazy girl, don't you know that i love you? and i wouldn't dream of goin' nowhere silly woman, come here, let me hold you have i told you lately? i love you like crazy, girl, don't you know that i love you? i wouldn't dream of goin' nowhere silly woman, come here, let me hold you have i told you lately? i love you like crazy, girl like crazy, oh, crazy girl like crazy, oh, crazy girl"
