"Rank","Year","Artist","artist_name","Track","track_name","track_number","disc_number","album_name","album_type","artist_id","track_id","album_release_date","album_release_year","duration_ms","danceability","energy","key","key_name","key_mode","mode","mode_name","time_signature","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
1,2002,"kenny chesney","kenny chesney","the good stuff","the good stuff",4,1,"No Shoes, No Shirt, No Problems","album","3grHWM9bx2E9vwJCdlRv9O","1sR3kJi14jA8Gau3a0yXAo","2002-04-02",2002,200440,0.612,0.62,7,"G","G major",1,"major",4,-9.785,0.0645,0.255,0,0.129,0.502,143.78
1,2003,"lonestar","lonestar","my front porch looking in","my front porch looking in",14,1,"The Greatest Hits","compilation","3qbnxnvUqR14MJ9g8QwZJK","2FOb22ITQlclIU7UEI0v47","1990-01-01",1990,223200,0.276,0.876,5,"F","F major",1,"major",4,-3.507,0.0766,0.0531,0,0.258,0.499,205.576
1,2004,"tim mcgraw","tim mcgraw","live like you were dying","live like you were dying",5,1,"Live Like You Were Dying","album","6roFdX1y5BYSbp60OTJWMd","7B1QliUMZv7gSTUGAfMRRD","2004-08-17",2004,300333,0.416,0.546,7,"G","G major",1,"major",4,-7.728,0.0297,0.492,0,0.0845,0.418,159.929
1,2005,"craig morgan","craig morgan","thats what i love about sunday","thats what i love about sunday",1,1,"My Kind Of Livin'","album","6ktyNEnEukKzskQEiXgCFD","1fmi1hOBtH8xfUiWz4LVtE","2005-03-08",2005,201493,0.6,0.56,8,"G#","G# major",1,"major",4,-6.311,0.0325,0.479,0,0.111,0.417,139.469
1,2006,"rodney atkins","rodney atkins","if youre going through hell before the devil even knows","if youre going through hell before the devil even knows",10,1,"If You're Going Through Hell","album","2qgvmDsc4jrqbAbjq1HGM2","7vSn3VNbzOtPebdj6ZSebj","2006-07-18",2006,216773,0.566,0.898,9,"A","A major",1,"major",4,-3.659,0.0634,0.0613,0,0.126,0.791,115.954
1,2007,"rodney atkins","rodney atkins","watching you","watching you",3,1,"If You're Going Through Hell","album","2qgvmDsc4jrqbAbjq1HGM2","5OusUgzHz6Ulb3GZT7WUo5","2006-07-18",2006,235426,0.625,0.848,2,"D","D major",1,"major",4,-4.008,0.0314,0.105,0,0.23,0.716,137.993
1,2008,"james otto","james otto","just got started lovin you","just got started lovin you",2,1,"Sunset Man (Standard Version)","album","3VStI6m5Ig9FAyUaa0lYAP","4b0XF7CDpJEBAdVHMw7amV","2008-04-07",2008,234640,0.705,0.606,7,"G","G major",1,"major",4,-7.047,0.0243,0.159,0.00149,0.242,0.876,98.001
1,2009,"lady a","lady a","i run to you","i run to you",5,1,"Lady Antebellum","album","32WkQRZEVKSzVAAYqukAEA","2YVCkTYJpv5jelYrHYoEG8","2008-01-01",2008,256013,0.655,0.786,3,"D#","D# major",1,"major",4,-4.451,0.034,0.163,5.99e-05,0.124,0.378,113.964
1,2010,"lee brice","lee brice","love like crazy","love like crazy",2,1,"Love Like Crazy","album","5Zq7R5qmi58ByYyBQTlNuk","6Ozp6ac86CSHMik8lbvJuM","2010-06-08",2010,217386,0.535,0.725,10,"A#","A# major",1,"major",4,-5.108,0.0275,0.0203,1.45e-05,0.176,0.292,78.489
1,2011,"eli young band","eli young band","crazy girl","crazy girl",2,1,"Life At Best","album","6eKWqnckwdIlSnjaYgIyxv","1nVLAEzhBXMJLR5zAl90Nl","2011-01-01",2011,200706,0.366,0.651,4,"E","E major",1,"major",3,-3.842,0.031,0.000415,0.00526,0.271,0.257,151.343
1,2012,"josh turner","josh turner","time is love","time is love",3,1,"Punching Bag","album","7vCtweS8UVAXTyau2j0rDT","2rg3yLJKN5Yl4JCHHkMgeC","2012-01-01",2012,200373,0.663,0.814,2,"D","D major",1,"major",4,-4.987,0.0466,0.0653,0.000252,0.0823,0.547,111.97
1,2013,"florida georgia line","florida georgia line","cruise","cruise",1,1,"Here's To The Good Times","album","3b8QkneNDz4JHKKKlLgYZg","1aS5oaBNG6wsf186ZZMCzX","2012",2012,208960,0.457,0.948,10,"A#","A# major",1,"major",4,-3.364,0.0354,0.0191,0,0.0536,0.878,148
